COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;ESTRADA;;SEM DENOMINACAO;;SN;;;;;;;;;;;-19.699926666666666;-44.56895497222222;773.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;RUA;;JOSE AUGUSTO MORAES;;SN;;;;;;;;;;;-19.69767166666667;-44.55201997222222;815.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;ACESSO;;SEM DENOMINACAO;;SN;;;;;;;;;;;-19.771636666666666;-44.57224663888889;751.0;LAGOA PRETA;3;35694000
31;63102;05;00;1;RUA;;PARA DE MINAS;5.0;;;;;;;;;;;;-19.71684833333333;-44.54999497222222;732.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;PARA DE MINAS;5.0;;;;;;;;;;;;-19.716461666666667;-44.55058833333333;757.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;JACINTA BRAGA;;SN;;;;;;;;;;;-19.717896638888888;-44.55477830555555;751.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;JACINTA BRAGA;;SN;;;;;;;;;;;-19.69976;-44.55695;781.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;ESTRADA;;PARA CONQUISTA;;SN;;;;;;;;;;;-19.717816638888888;-44.596969972222226;762.0;CONQUISTA;3;35694000
31;63102;05;00;1;RUA;;VICENTE DAMASCENO;;SN;;;;;;;;;;;-19.706631666666667;-44.554116638888885;767.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;DOM;CABRAL;;SN;;;;;;;;;;;-19.700065;-44.56411663888888;745.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;BELIZARIO;;SN;;;;;;;;;;;-19.768335;-44.58187163888889;763.0;LAGOA PRETA;3;35694000
