COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;ESTRADA;;SEM DENOMINACAO;;SN;-19.699.926.666.666.600;-4.456.895.497.222.220;773.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;RUA;;JOSE AUGUSTO MORAES;;SN;-1.969.767.166.666.660;-4.455.201.997.222.220;815.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;ACESSO;;SEM DENOMINACAO;;SN;-19.771.636.666.666.600;-4.457.224.663.888.880;751.0;LAGOA PRETA;3;35694000
31;63102;05;00;1;RUA;;PARA DE MINAS;5.0;;-1.971.684.833.333.330;-4.454.999.497.222.220;732.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;PARA DE MINAS;5.0;;-19.716.461.666.666.600;-4.455.058.833.333.330;757.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;JACINTA BRAGA;;SN;-19.717.896.638.888.800;-4.455.477.830.555.550;751.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;JACINTA BRAGA;;SN;-1.969.976;-4.455.695;781.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;ESTRADA;;PARA CONQUISTA;;SN;-19.717.816.638.888.800;-44.596.969.972.222.200;762.0;CONQUISTA;3;35694000
31;63102;05;00;1;RUA;;VICENTE DAMASCENO;;SN;-19.706.631.666.666.600;-44.554.116.638.888.800;767.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;DOM;CABRAL;;SN;-19.700.065;-4.456.411.663.888.880;745.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;BELIZARIO;;SN;-19.768.335;-4.458.187.163.888.880;763.0;LAGOA PRETA;3;35694000
31;63102;05;00;1;RUA;;BELIZARIO;;SN;-19.768.755;-4.458.132.500.000.000;746.0;LAGOA PRETA;3;35694000
31;63102;05;00;1;RUA;;JOSE DUARTE DE AGUIAR;;SN;-1.970.944;-4.456.669.166.666.660;742.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;1;RUA;;DO ROSARIO;;SN;-19.767.775;-4.458.277.166.666.660;758.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;ESTRADA;;BARREIRINHO;;SN;-1.973.048;-4.456.521.333.333.330;745.0;BARREIRINHO;3;35694000
31;63102;05;00;2;ESTRADA;;BARREIRINHO;;SN;-19.727.413.305.555.500;-4.456.152.997.222.220;743.0;BARREIRINHO;3;35694000
31;63102;05;00;2;ESTRADA;;BARREIRINHO;;SN;-19.745.489.972.222.200;-4.456.987.166.666.660;781.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;ESTRADA;;DA LOCALIDADE DE RETIRO;;SN;-19.765.306.666.666.600;-4.455.375.333.333.330;742.0;RETIRO;3;35694000
31;63102;05;00;2;ESTRADA;;DE LAGOA PRETA A LIMAS;;SN;-19.768.558.305.555.500;-4.460.563.663.888.880;781.0;LAGOA PRETA;3;35694000
31;63102;05;00;2;ESTRADA;;DE LAGOA PRETA A LIMAS;;SN;-19.777.026.666.666.600;-4.457.160.833.333.330;773.0;LAGOA PRETA;3;35694000
